"","Sample","Site","Year","Species_all","Species","Num","Length","Weight","l_As","l_Cd","l_Cu","l_Pb","l_Se","l_Zn","K","m_As","m_Cd","m_Cu","m_Pb","m_Se","m_Zn","g_As","g_Cd","g_Cu","g_Pb","g_Se","g_Zn","wb_As","wb_Cd","wb_Cu","wb_Pb","wb_Se","wb_Zn","d13C","d15N"
"55","BG22MWF02","BG",2022,"MWF","MWF",2,452,955,0.398322851,1.546121593,10.29874214,0.283018868,10.61320755,112.4737945,1.03416078902375,0.210650489,0.00842602,1.014492754,0.006157447,0.910010111,13.96191439,0.510204082,0.170068027,2.886904762,1.56037415,4.115646259,76.02040816,NA,NA,NA,NA,NA,NA,-27.33,12.38
"56","BG22MWF04","BG",2022,"MWF","MWF",4,277,200,NA,NA,NA,NA,NA,NA,0.941002307667009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.72,10.56
"57","BG22MWF06","BG",2022,"MWF","MWF",6,351,395,NA,NA,NA,NA,NA,NA,0.913430999225757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.65,12.37
"58","BG22MWF07","BG",2022,"MWF","MWF",7,333,380,NA,NA,NA,NA,NA,NA,1.02908416627541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.11,12.32
"59","BG22MWF08","BG",2022,"MWF","MWF",8,361,460,0.838565022,0.964125561,7.914798206,0.170403587,11.26457399,224.5156951,0.977768914562361,0.285714286,0.00728863,1.325072886,0.014577259,1.314868805,19.09912536,1.00877193,0.438596491,6.319776715,1.263955343,11.77033493,127.3205742,NA,NA,NA,NA,NA,NA,-27.56,11.83
"60","BG22MWF09","BG",2022,"MWF","MWF",9,266,165,NA,NA,NA,NA,NA,NA,0.876675832268216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.61,11.78
"61","BG22MWF10","BG",2022,"MWF","MWF",10,430,815,0.777616279,2.082122093,9.712936047,0.188953488,5.715843023,191.0210756,1.02506697523488,0.238144976,0.026112388,0.830373929,0.003816408,0.838729893,18.20660121,0.507159905,1.097852029,4.910501193,1.19928401,4.994033413,101.0381862,NA,NA,NA,NA,NA,NA,-29.99,12.24
"62","BG22MWF11","BG",2022,"MWF","MWF",11,435,750,0.817988669,0.800283286,9.390934844,0.251416431,6.487252125,118.8916431,0.911157580147699,0.21185372,0.018915511,1.121059269,0.022698613,1.021437579,16.55233291,0.39874552,0.506272401,3.566308244,1.308243728,13.28853047,92.05197133,NA,NA,NA,NA,NA,NA,NA,NA
"63","BG22MWF12","BG",2022,"MWF","MWF",12,279,210,NA,NA,NA,NA,NA,NA,0.96695593844248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.13,11.26
"64","DL 21 MWF12","DL",2021,"MWF","MWF",12,186,66,NA,NA,NA,NA,NA,NA,1.0256639775622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29.28,10.28
"65","DL21LL01","DL",2021,"LL","LL",1,254,184,1.212268744,0.959104187,1185.520935,0.35053554,10.68159688,135.7643622,1.12283689134307,0.426319561,0.008359207,1.130881299,0.013135897,1.086696919,24.35275854,0.954757152,0.209580838,2.970725216,0.542248836,2.654690619,360.1397206,NA,NA,NA,NA,NA,NA,-26.65,10.35
"66","DL21LL02","DL",2021,"LL","LL",2,251,152,NA,NA,NA,NA,NA,NA,0.961219169922744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-27.91,10.44
"67","DL21LL03","DL",2021,"LL","LL",3,158,42,0.874485597,0.787037037,427.6748971,0.118312757,6.399176955,193.5493827,1.06482448650107,0.394282898,0.002561399,1.35781173,0.019714145,1.034992607,31.61163135,1.12286002,0.216515609,6.273917422,0.790533736,2.079556898,367.9758308,NA,NA,NA,NA,NA,NA,-27.27,10.88
"68","DL21LL04","DL",2021,"LL","LL",4,141,28,1.210790464,1.104140527,429.1781681,0.30740276,8.067754078,210.0439147,0.998850964658156,0.439266616,0.06684492,2.725362872,0.024828113,1.508785332,45.2750191,0.943820225,0.202247191,5.06741573,0.808988764,2.617977528,331.4044944,NA,NA,NA,NA,NA,NA,-27.52,10.39
"69","DL21LL05","DL",2021,"LL","LL",5,392,564,1.770976616,1.403026135,2001.966988,0.269944979,10.43328748,151.7383081,0.936312675840849,0.675904977,0.005656109,1.199095023,0.005166614,0.852658371,22.04044118,1.035055351,0.424354244,3.649446494,0.525830258,1.867158672,603.0830258,NA,NA,NA,NA,NA,NA,-28.57,10.69
"70","DL21LL06","DL",2021,"LL","LL",6,167,52,17.04013378,1.031215162,343.1047938,0.200668896,7.441471572,204.6878484,1.11648766721282,1.189258312,0.007992327,1.118925831,0.014386189,1.226023018,30.60901535,1.022267206,0.263157895,6.487854251,0.369433198,2.722672065,337.1761134,NA,NA,NA,NA,NA,NA,-27.66,11.61
"71","DL21LL07","DL",2021,"LL","LL",7,188,74,1.290201945,0.828347046,472.486911,0.437546746,6.02842184,215.7872102,1.11367423403292,0.468962392,0.006796556,1.346850929,0.015858632,0.797462619,34.26710467,0.806658131,0.19206146,8.341869398,1.139564661,1.145966709,324.6670935,NA,NA,NA,NA,NA,NA,-26.91,7.98
