Cap,Site,Year,Species,Tissue,Num,Sample.weight,Length,Weight,As,Cd,Cu,Pb,Se,Zn
214,DL,2022,MWF,l,1,0.1483,351,485,0.60687795,0.347269049,11.01146325,0.124747134,6.86109238,119.6999326
215,DL,2022,MWF,m,1,0.2696,351,485,0.322700297,0.005563798,1.066394659,0.006776389,0.752967359,16.38353116
216,DL,2022,MWF,g,2,0.069,262,200,0.666666667,0.289855072,2.644927536,0.333333333,5.311594203,104.1086957
217,DL,2022,MWF,m,2,0.2803,262,200,0.251516233,0.001854113,1.32001427,0.017838031,1.403853015,19.57188726
218,DL,2022,MWF,l,2,0.1294,262,200,0.382534776,0.193199382,10.32457496,0.061823802,12.16383308,136.4296754
219,DL,2022,MWF,m,3,0.3335,431,860,0.295352324,0.013493253,1.169415292,0.005478005,0.766116942,15.24437781
220,DL,2022,MWF,g,3,0.1283,431,860,0.51441933,0.358534684,3.733437256,0.639127046,7.084957132,82.22525331
221,DL,2022,MWF,l,3,0.0827,431,860,0.507859734,1.438935913,10.30834341,0.253929867,6.039903265,98.58524788
222,DL,2022,MWF,g,4,0.0875,438,820,1.708571429,0.194285714,6.24,1.931428571,1.851428571,77.60571429
223,DL,2022,MWF,m,4,0.2909,438,820,0.81471296,0.012031626,1.139566861,0.015469233,0.742523204,33.75730492
224,DL,2022,MWF,l,4,0.1479,438,820,20.0540906,3.427991886,21.07843137,0.256930358,5.057471264,126.402975
225,DL,2022,MWF,m,5,0.2601,362,500,0.240292195,0.013456363,1.049596309,0.007023893,0.891964629,19.98269896
226,DL,2022,MWF,l,5,0.0636,362,500,0.754716981,0.731132075,9.017295597,0.110062893,7.775157233,106.6666667
227,DL,2022,MWF,g,5,0.1072,362,500,0.979477612,0.275186567,3.17630597,0.47108209,4.258395522,93.85727612
228,DL,2022,LSSU,m,1,0.3504,612,2640,0.894691781,0.008561644,1.666666667,0.054223744,1.057363014,20.13127854
229,DL,2022,LSSU,l,1,0.1195,612,2640,3.744769874,2.351464435,23.92887029,0.213389121,3.364016736,96.44769874
230,DL,2022,LSSU,g,1,0.1445,612,2640,5.605536332,0.183391003,9.615916955,1.588235294,2.273356401,54.03114187
231,DL,2022,LSSU,g,2,0.1474,583,1980,2.903663501,0.413839891,4.979647218,1.224559023,0.91587517,70.67164179
232,DL,2022,LSSU,m,2,0.2442,583,1980,0.008378753,0.002128205,0.090989226,0.007481223,0.017312996,0.656471565
233,DL,2022,LSSU,g,3,0.1218,460,1045,1.654351396,0.13546798,7.179802956,0.948275862,1.732348112,76.0591133
234,DL,2022,LSSU,m,3,0.4472,460,1045,0.439400716,0.00559034,1.195214669,0.017889088,0.761404293,25.27504472
235,DL,2022,LSSU,l,4,0.1512,488,1425,0.972222222,2.010582011,79.18320106,0.198412698,2.685185185,165.2281746
236,DL,2022,LSSU,m,4,0.2579,488,1425,0.27723924,0.007754944,1.496704149,0.015509888,0.715393563,25.75416828
237,DL,2022,LSSU,g,4,0.1089,488,1425,0.720844812,0.12855831,6.331496786,0.858585859,1.808999082,78.76951331
238,DL,2022,LSSU,m,5,0.2806,520,1615,0.728795438,0.005345688,1.006771205,0.011582324,1.882573058,27.1730221
239,DL,2022,LSSU,g,5,0.143,520,1615,3.192307692,0.129370629,13.77972028,2.111888112,1.783216783,87.61188811
240,GC,2022,MWF,m,1,0.2638,405,690,0.240712661,0.015163002,0.951478393,0.018953753,0.826383624,14.36694466
241,GC,2022,MWF,l,8,0.1344,330,370,3.954613095,3.939732143,3.939732143,4.203869048,4.263392857,24.30059524
242,GC,2022,MWF,g,1,0.0682,405,690,0.667155425,0.410557185,3.350439883,0.593841642,6.524926686,83.05718475
243,GC,2022,MWF,m,8,0.32,330,370,0.3125,0.0046875,1.1421875,0.005709108,0.8546875,23.053125
244,GC,2022,MWF,l,1,0.1421,405,690,0.795214638,1.171710063,11.01688951,0.267417312,9.683321605,111.3476425
245,GC,2022,MWF,g,15,0.0767,244,155,0.345501956,0.162972621,2.438070404,0.254237288,10.84093872,100.6062581
246,GC,2022,MWF,l,15,0.0682,244,155,0.850439883,0.410557185,9.413489736,0.065982405,6.634897361,92.28005865
247,GC,2022,MWF,m,3,0.3439,250,145,0.207909276,0.004361733,1.224193079,0.005312342,1.203838325,21.99331201
248,GC,2022,MWF,g,3,0.0524,250,145,0.353053435,0.229007634,3.769083969,0.295801527,14.47519084,120.3530534
249,GC,2022,MWF,l,3,0.107,250,145,1.014018692,0.182242991,8.172897196,0.056074766,6.808411215,153.5140187
250,GC,2022,MWF,m,15,0.3274,244,155,0.287110568,0.009163103,1.527183873,0.013744655,1.704337202,22.73365913
301,GC,2022,MWF,g,8,0.0774,330,370,0.458656331,0.187338501,2.235142119,0.213178295,6.117571059,87.66149871
302,GC,2022,MWF,M,9,0.326,426,835,0.40797546,0.02607362,0.826687117,0.005604032,0.680981595,15.77607362
303,GC,2022,MWF,l,9,0.0725,426,835,0.751724138,3.889655172,19.77241379,0.24137931,5.372413793,182
304,GC,2022,MWF,g,9,0.1412,426,835,0.690509915,0.385977337,2.779745042,2.089235127,2.489376771,78.36402266
305,BG,2022,LNDC,m,1,0.1177,77,5,0.165675446,0.28462192,3.802039082,0.046728972,2.090059473,60.60322855
306,BG,2022,LSSU,m,1,0.3082,470,1215,0.387735237,0.011356262,1.32706035,0.012978585,0.84523037,20.54023361
307,BG,2022,LSSU,g,1,0.1348,470,1215,0.971810089,0.630563798,12.78560831,0.760385757,1.839762611,116.1646884
308,BG,2022,LSSU,g,2,0.1494,430,880,0.739625167,0.358099063,5.3145917,0.505354752,1.663319946,102.3627845
309,BG,2022,LSSU,m,2,0.3467,430,880,0.57542544,0.012979521,1.9180848,0.005269439,0.422555524,25.09374099
310,BG,2022,LL,g,1,0.0536,320,265,0.46641791,0.223880597,8.600746269,0.78358209,1.865671642,316.8656716
311,BG,2022,LL,m,1,0.4051,320,265,0.388792891,0.013576895,1.466304616,0.004509787,1.06763762,31.36509504
312,BG,2022,LL,m,2,0.3381,292,275,0.316474416,0.001537142,1.02484472,0.005403474,1.140195209,22.12215321
313,BG,2022,LL,m,6,0.2698,366,450,0.149184581,0.006486286,1.270385471,0.01204596,1.006300964,27.06727205
314,BG,2022,LL,g,6,0.0888,366,450,0.489864865,0.275900901,7.31981982,1.047297297,2.561936937,390.1013514
315,BG,2022,LL,g,4,0.0993,429,640,0.715005035,0.171198389,20.55387714,0.563947633,3.136958711,214.8439074
316,BG,2022,LL,m,4,0.4524,429,640,1.128426172,0.004420866,0.984748011,0.008841733,1.151635721,24.89168877
317,BG,2022,LL,g,3,0.0696,301,280,1.063218391,0.201149425,16.12787356,0.804597701,3.060344828,371.4798851
318,BG,2022,LL,m,3,0.344,301,280,0.563953488,0.005813953,1.393895349,0.005310798,1.216569767,34.35465116
319,BG,2022,LL,g,2,0.0519,292,275,0.70327553,0.260115607,98.88246628,0.433526012,2.668593449,568.3815029
320,BG,2022,MWF,l,11,0.1412,435,750,0.817988669,0.800283286,9.390934844,0.251416431,6.487252125,118.8916431
321,BG,2022,MWF,g,11,0.1116,435,750,0.39874552,0.506272401,3.566308244,1.308243728,13.28853047,92.05197133
322,BG,2022,MWF,m,11,0.3965,435,750,0.21185372,0.018915511,1.121059269,0.022698613,1.021437579,16.55233291
323,BG,2022,MWF,m,8,0.343,361,460,0.285714286,0.00728863,1.325072886,0.014577259,1.314868805,19.09912536
324,BG,2022,MWF,l,8,0.1115,361,460,0.838565022,0.964125561,7.914798206,0.170403587,11.26457399,224.5156951
325,BG,2022,MWF,g,8,0.1254,361,460,1.00877193,0.438596491,6.319776715,1.263955343,11.77033493,127.3205742
326,BG,2022,MWF,g,10,0.0838,430,815,0.507159905,1.097852029,4.910501193,1.19928401,4.994033413,101.0381862
327,BG,2022,MWF,m,10,0.4787,430,815,0.238144976,0.026112388,0.830373929,0.003816408,0.838729893,18.20660121
328,BG,2022,MWF,l,10,0.1376,430,815,0.777616279,2.082122093,9.712936047,0.188953488,5.715843023,191.0210756
329,BG,2022,MWF,l,2,0.0954,452,955,0.398322851,1.546121593,10.29874214,0.283018868,10.61320755,112.4737945
330,BG,2022,MWF,m,2,0.2967,452,955,0.210650489,0.00842602,1.014492754,0.006157447,0.910010111,13.96191439
331,BG,2022,MWF,g,2,0.1176,452,955,0.510204082,0.170068027,2.886904762,1.56037415,4.115646259,76.02040816
332,BG,2022,MWF,m,1,0.2088,426,762,0.337643678,0.007183908,0.998563218,0.069444444,0.842911877,13.45785441
333,BG,2022,MWF,l,1,0.1482,426,762,0.36099865,1.255060729,10.6511471,0.165317139,13.55937922,107.4696356
334,BG,2022,MWF,g,1,0.1109,426,762,0.450856628,0.243462579,4.57619477,0.536519387,5.861136159,92.35798016
335,BG,2021,LSSU,m,15,0.3813,534,1700,0.196695515,0.028848676,1.435877262,0.036716496,0.849724626,32.2134802
336,BG,2021,LSSU,l,14,0.0175,174,65,0.771428571,0.342857143,23.08571429,0.257142857,2.228571429,119.6571429
337,BG,2021,LSSU,g,15,0.1313,534,1700,0.418888043,0.712109673,7.600913938,0.734958111,1.477532369,61.85072353
338,BG,2021,LL,m,2,0.2697,390,625,0.517241379,0.001926985,1.820541342,0.006773877,1.203188728,28.61883574
339,BG,2021,LL,l,10,0.1327,205,95,1.262245667,0.708364732,103.1763376,0.211002261,6.412961567,263.8696307
340,BG,2021,LL,m,10,0.3953,205,95,2.245130281,0.007589173,1.335694409,0.011383759,1.746774602,30.41108019
341,BG,2021,LL,g,10,0.0501,205,95,1.497005988,0.469061876,9.331337325,1.007984032,5.079840319,317.754491
342,BG,2021,LL,m,9,0.3221,280,230,0.861533685,0.004656939,1.244954983,0.015523129,0.965538653,19.4240919
343,BG,2021,LL,g,9,0.0573,280,230,3.90052356,1.064572426,16.36125654,2.591623037,2.897033159,548.6823735
345,BG,2021,LL,l,8,0.062,150,35,0.637096774,0.709677419,138.3306452,0.282258065,5.540322581,337.1612903
