Sample,Site,Year,Species,Num,Length,Weight,13C,15N,,,,,,,,,,,,
DL21LNSU01,DL,2021,LNSU,1,44,1.15,-28.15,12.80,,,,,,,,,,,,
DL21LNSU02,DL,2021,LNSU,2,38.5,0.4,-28.61,12.43,,,,,,,,,,,,
DL21LNSU03,DL,2021,LNSU,3,34.5,0.4,-27.35,12.69,,,,,,,,,,,,
DL21RSSH01,DL,2021,RSSH,1,25,0.22,-28.05,11.58,,,,,,,,,,,,
DL21RSSH02,DL,2021,RSSH,2,25,0.31,-29.04,10.92,,,,,,,,,,,,
DL21RSSH03,DL,2021,RSSH,3,21,0.18,-23.65,11.46,,,,,,,,,,,,
DL21RSSH04,DL,2021,RSSH,4,26,0.24,-27.54,12.60,,,,,,,,,,,,
DL21RSSH05,DL,2021,RSSH,5,25,0.21,-29.43,11.19,,,,,,,,,,,,
DL21RSSH06,DL,2021,RSSH,6,24,0.2,-27.49,13.32,,,,,,,,,,,,
DL21RSSH07,DL,2021,RSSH,7,26,0.27,-27.31,10.51,,,,,,,,,,,,
DL21RSSH08,DL,2021,RSSH,8,27,0.2,-27.21,11.04,,,,,,,,,,,,
GC21DACE01,GC,2021,LNDC,1,32,48,-28.09,11.12,,,,,,,,,,,,
GC21DACE02,GC,2021,LNDC,2,42,83,-27.91,11.19,,,,,,,,,,,,
GC21RSSH01,GC,2021,RSSH,1,,0.06,-29.79,11.53,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
