Site,Year,Species,Tissue,Num,Cap,Sample wt,Length,Weight,As,Cd,Cu,Pb,Se,Zn
BG,2022,LL,g,4,315,0.0993,429,640,0.142,0.034,4.082,0.112,0.623,42.668
BG,2022,LL,m,4,316,0.4524,429,640,1.021,0.004,0.891,0.008,1.042,22.522
BG,2022,LL,g,3,317,0.0696,301,280,0.148,0.028,2.245,0.112,0.426,51.71
BG,2022,LL,m,3,318,0.344,301,280,0.388,0.004,0.959,0.003653829,0.837,23.636
BG,2022,LL,g,2,319,0.0519,292,275,0.073,0.027,10.264,0.045,0.277,58.998
BG,2022,MWF,l,11,320,0.1412,435,750,0.231,0.226,2.652,0.071,1.832,33.575
BG,2022,MWF,g,11,321,0.1116,435,750,0.089,0.113,0.796,0.292,2.966,20.546
BG,2022,MWF,m,11,322,0.3965,435,750,0.168,0.015,0.889,0.018,0.81,13.126
BG,2022,MWF,m,8,323,0.343,361,460,0.196,0.005,0.909,0.01,0.902,13.102
BG,2022,MWF,l,8,324,0.1115,361,460,0.187,0.215,1.765,0.038,2.512,50.067
BG,2022,MWF,g,8,325,0.1254,361,460,0.253,0.11,1.585,0.317,2.952,31.932
BG,2022,MWF,g,10,326,0.0838,430,815,0.085,0.184,0.823,0.201,0.837,16.934
BG,2022,MWF,m,10,327,0.4787,430,815,0.228,0.025,0.795,0.003653829,0.803,17.431
BG,2022,MWF,l,10,328,0.1376,430,815,0.214,0.573,2.673,0.052,1.573,52.569
BG,2022,MWF,l,2,329,0.0954,452,955,0.076,0.295,1.965,0.054,2.025,21.46
BG,2022,MWF,m,2,330,0.2967,452,955,0.125,0.005,0.602,0.003653829,0.54,8.285
BG,2022,MWF,g,2,331,0.1176,452,955,0.12,0.04,0.679,0.367,0.968,17.88
BG,2022,MWF,m,1,332,0.2088,426,762,0.141,0.003,0.417,0.029,0.352,5.62
BG,2022,MWF,l,1,333,0.1482,426,762,0.107,0.372,3.157,0.049,4.019,31.854
BG,2022,MWF,g,1,334,0.1109,426,762,0.1,0.054,1.015,0.119,1.3,20.485
BG,2021,LSSU,m,15,335,0.3813,534,1700,0.15,0.022,1.095,0.028,0.648,24.566
BG,2021,LSSU,l,14,336,0.0175,174,65,0.027,0.012,0.808,0.009,0.078,4.188
BG,2021,LSSU,g,15,337,0.1313,534,1700,0.11,0.187,1.996,0.193,0.388,16.242
BG,2021,LL,m,2,338,0.2697,390,625,0.279,0.001039416,0.982,0.003653829,0.649,15.437
BG,2021,LL,l,10,339,0.1327,205,95,0.335,0.188,27.383,0.056,1.702,70.031
BG,2021,LL,m,10,340,0.3953,205,95,1.775,0.006,1.056,0.009,1.381,24.043
BG,2021,LL,g,10,341,0.0501,205,95,0.15,0.047,0.935,0.101,0.509,31.839
BG,2021,LL,m,9,342,0.3221,280,230,0.555,0.003,0.802,0.01,0.622,12.513
BG,2021,LL,g,9,343,0.0573,280,230,0.447,0.122,1.875,0.297,0.332,62.879
BG,2021,LL,l,8,345,0.062,150,35,0.079,0.088,17.153,0.035,0.687,41.808
BG,2021,LL,g,8,346,0.0288,150,35,0.104,0.018,0.895,0.125,0.201,26.678
