Cap ID,Site,Year,Species,Tissue,Num,Length,Weight,Sample weight,As,Cd,Cu,Pb,Se,Zn
39,DL,2021,RSSH,wb,8,27,0.2,0.0539,0.415,0.029,1.959,0.18,0.182,29.712
41,DL,2021,LNSU,wb,1,44,1.15,0.1079,0.284,0.023,1.198,0.068,0.11,17.956
42,DL,2021,LNSU,wb,2,38.5,0.4,0.0527,0.246,0.021,1.012,0.064,0.109,18.614
43,DL,2021,LNSU,wb,3,34.5,0.4,0.0309,0.204,0.02,1.11,0.057,0.13,20.354
44,DL,2021,LNDC,m,1,69,na,0.0996,0.44,0.05,2.075,0.109,0.332,38.767
45,DL,2021,LNDC,m,2,61,na,0.365,1.772,0.11,8.784,0.583,0.483,85.46
46,DL,2021,LNDC,m,3,61,na,0.3529,2.704,0.069,11.168,0.918,0.63,49.573
47,DL,2021,LSSU,m,1,468,1056,0.3275,2.786,0.1,9.625,0.755,0.468,48.071
48,DL,2021,LSSU,g,1,468,1056,0.1348,0.04,0.008,0.462,0.003653829,0.086,5.702
49,DL,2021,LSSU,m,2,480,1114,0.1494,0.035,0.003,0.388,0.003653829,0.061,8.495
50,DL,2021,LSSU,g,2,480,1114,0.1313,0.016,0.007,0.273,0.003653829,0.085,5.421
51,DL,2021,LSSU,l,2,480,1114,0.2154,0.182,0.009,1.075,0.018,0.48,22.873
52,DL,2021,LSSU,m,3,449,988.83056,0.4101,0.162,0.023,1.375,0.191,0.236,20.477
53,DL,2021,LSSU,g,3,449,988.83056,0.1503,0.253,0.012,1.192,0.03,0.713,21.673
54,DL,2021,LSSU,m,4,460,1016.04608,0.1295,0.174,0.032,1.446,0.224,0.341,24.427
55,DL,2021,LSSU,g,4,460,1016.04608,0.0175,0.056,0.111,1.709,0.013,0.175,15.686
56,DL,2021,LSSU,m,5,430,816.4656,0.3082,0.161,0.005,0.808,0.018,0.319,17.901
57,DL,2021,LSSU,g,5,430,816.4656,0.3467,0.156,0.041,1.471,0.169,0.528,26.538
58,DL,2021,LSSU,m,6,428,843.68112,0.3813,0.184,0.003,1.596,0.018,0.644,21.52
59,DL,2021,LSSU,g,6,428,843.68112,0.2862,0.066,0.014,0.881,0.115,0.259,11.14
60,DL,2021,LSSU,m,7,479,1133.98,0.3404,0.168,0.003,0.889,0.014,0.455,15.125
61,DL,2021,LSSU,g,7,479,1133.98,0.378,0.047,0.011,1.446,0.076,0.162,10.133
62,DL,2021,LSSU,m,8,436,861.8248,0.3778,0.135,0.005,0.799,0.016,0.689,14.419
63,DL,2021,LSSU,g,8,436,861.8248,0.3942,0.19,0.045,1.741,0.533,0.56,30.561
64,DL,2021,LSSU,m,9,436,861.8248,0.1116,0.195,0.004,1.087,0.011,0.467,25.365
75,DL,2021,MWF,m,2,443,870,0.1254,0.067,0.018,1.084,0.122,0.201,18.976
76,DL,2021,MWF,g,2,443,870,0.0838,0.152,0.006,1.247,0.009,0.424,16.306
77,DL,2021,MWF,l,2,443,870,0.1176,0.051,0.021,0.821,0.103,0.191,19.969
78,DL,2021,MWF,m,3,438,766,0.1109,0.318,0.005,1.402,0.014,0.69,23.685
79,DL,2021,MWF,g,3,438,766,0.1058,0.279,0.005,0.661,0.003653829,0.48,8.987
80,DL,2021,MWF,l,3,438,766,0.214,0.137,0.057,0.984,0.135,1.402,21.684
81,DL,2021,MWF,m,4,365,458,0.2944,0.174,0.13,97.992,0.025,1.476,46.13
82,DL,2021,MWF,g,4,365,458,0.1412,0.156,0.03,1.136,0.039,0.793,13.553
83,DL,2021,MWF,l,4,365,458,0.1115,0.126,0.093,1.336,0.239,0.886,15.644
84,DL,2021,MWF,m,5,266,168,0.1376,0.193,0.954,6.735,0.046,1.38,35.705
85,DL,2021,MWF,g,5,266,168,0.0954,0.194,0.006,0.837,0.009,0.668,9.883
86,DL,2021,MWF,l,5,266,168,0.1482,0.091,0.038,0.55,0.17,0.585,12.291
87,DL,2021,MWF,m,6,390,636,0.3965,0.171,0.213,3.395,0.03,2.216,30.625
88,DL,2021,MWF,g,6,390,636,0.343,0.259,0.007,1.426,0.003653829,1.021,17.236
89,DL,2021,MWF,l,6,390,636,0.4787,0.089,0.043,0.518,0.036,0.766,11.518
90,DL,2021,MWF,m,7,400,644,0.2967,0.108,0.062,1.633,0.023,2.718,16.326
201,DL,2022,LL,m,104,175,60,0.2088,0.33,0.01,0.767,0.003653829,0.385,9.498
202,DL,2022,LL,m,103,166,45,0.3867,0.243,0.047,1.031,0.32,0.484,18.773
203,DL,2022,LL,g,103,166,45,0.3416,0.12,0.685,4.408,0.051,1.747,24.878
204,DL,2022,LL,l,103,166,45,0.2966,0.178,0.003,0.655,0.003653829,0.461,9.258
205,DL,2022,LL,g,102,186,100,0.1249,0.587,0.003,0.908,0.009,1.032,20.781
206,DL,2022,LL,m,102,186,100,0.3073,0.331,0.006,0.805,0.003653829,1.283,17.109
207,DL,2022,LL,l,102,186,100,0.0969,0.138,0.021,1.02,0.093,0.522,37.264
208,DL,2022,LL,l,101,340,360,0.1529,0.102,0.03,51.339,0.015,2.173,22.329
209,DL,2022,LL,g,101,340,360,0.0874,0.628,0.066,5.272,0.748,0.47,41.223
210,DL,2022,LL,m,101,340,360,0.1033,0.55,0.003,1.05,0.009,0.709,21.75
211,DL,2022,LL,g,104,175,60,0.0887,0.261,0.269,113.229,0.049,1.918,41.57
212,DL,2022,LL,l,104,175,60,0.1503,0.177,0.222,221.462,0.029,1.854,31.05
213,DL,2022,MWF,g,1,351,485,0.0993,0.143,0.052,0.547,0.09,0.307,84.535
214,DL,2022,MWF,l,1,351,485,0.0445,0.621,0.001039416,0.855,0.003653829,0.689,16.912
215,DL,2022,MWF,m,1,351,485,0.1355,0.361,0.029,2.13,0.272,0.462,62.411
216,DL,2022,MWF,g,2,262,200,0.0988,0.193,0.131,89.876,0.03,1.489,42.589
217,DL,2022,MWF,m,2,262,200,0.0781,0.232,0.113,2.216,0.217,2.786,30.221
